N,P,K,temperature,humidity,ph,rainfall,label,yield
22.38,48.34,20.63,27.5,58.75,7.25,51.36,mothbeans,22.45
20.29,16.29,6.52,25.49,93.33,7.93,86.54,orange,65.38
16.63,26.94,33.65,28.98,59.77,5.87,83.89,mango,71.24
103.84,33.34,24.05,25.93,66.61,6.41,126.19,coffee,23.51
21.62,47.13,23.11,29.43,54.44,6.78,68.24,mothbeans,23.58
43.04,58.15,21.16,29.99,65.55,7.34,61.95,blackgram,25.99
20.31,19.19,38.59,18.14,86.5,6.12,111.79,pomegranate,26.46
82.69,49.84,24.2,24.0,65.63,5.67,72.44,maize,71.95
19.11,53.43,11.44,29.46,51.08,7.01,54.91,mothbeans,22.42
135.05,38.3,18.75,25.24,89.05,7.07,80.85,cotton,38.92
56.79,57.2,45.72,33.83,89.39,6.74,145.88,papaya,128.93
24.51,64.18,18.45,24.41,44.75,5.58,157.04,pigeonpeas,24.12
18.91,45.96,15.46,28.35,54.43,6.51,46.39,mothbeans,22.52
17.25,59.07,17.28,23.51,18.81,6.18,88.54,kidneybeans,32.84
107.57,31.09,31.18,28.58,64.59,6.56,188.78,coffee,24.88
39.38,57.48,18.2,26.8,69.82,6.96,81.7,blackgram,25.25
18.92,70.46,19.56,24.06,68.48,6.76,55.47,lentil,26.87
22.06,15.1,33.66,28.01,95.06,7.03,177.49,coconut,74.67
81.17,43.44,45.77,23.04,81.17,6.41,260.92,rice,56.16
22.36,12.31,10.08,23.18,87.49,7.47,108.57,orange,65.43
104.96,21.27,53.05,29.02,89.93,6.89,20.0,muskmelon,101.59
91.59,61.52,51.68,23.12,90.18,6.82,46.3,watermelon,128.34
19.19,63.94,16.43,22.05,16.98,5.83,127.65,kidneybeans,33.89
100.68,55.15,54.36,24.01,86.89,6.81,53.64,watermelon,123.34
91.6,85.62,49.56,27.79,85.07,6.48,111.13,banana,166.9
16.85,67.98,18.18,28.01,42.14,6.2,143.0,pigeonpeas,28.97
21.22,50.28,17.62,29.89,47.03,7.42,47.25,mothbeans,23.29
99.74,67.62,30.82,29.91,80.94,6.9,100.39,banana,218.64
73.92,50.12,41.67,23.31,80.49,6.34,189.88,jute,48.61
119.67,41.56,20.27,23.62,79.94,6.96,62.25,cotton,40.23
21.36,22.1,39.28,21.51,93.4,5.77,101.17,pomegranate,32.83
21.81,64.4,18.57,25.94,51.04,5.57,141.13,pigeonpeas,27.38
42.35,57.62,82.28,19.6,17.31,6.66,90.39,chickpea,26.79
73.53,58.82,18.39,25.83,73.75,6.24,81.99,maize,75.46
21.58,15.31,31.79,27.1,89.85,6.34,157.07,coconut,83.15
14.88,26.83,40.16,23.52,94.29,7.12,104.68,pomegranate,31.06
85.02,54.59,34.28,23.02,84.27,6.0,266.08,rice,59.55
20.24,69.53,23.46,25.37,54.96,4.97,126.01,pigeonpeas,26.58
20.67,134.59,204.48,23.49,87.27,6.15,71.33,grapes,105.3
32.88,75.61,19.81,29.32,67.0,7.16,67.68,blackgram,26.13
22.48,11.16,33.63,27.87,92.88,5.85,175.69,coconut,78.9
39.9,66.58,88.69,15.24,18.4,7.16,66.22,chickpea,27.99
34.93,58.26,12.2,29.87,66.32,7.09,82.49,blackgram,26.44
25.34,18.7,29.37,26.92,95.51,5.87,185.03,coconut,78.3
77.83,50.2,18.55,21.51,60.98,6.07,82.99,maize,65.75
102.87,86.54,45.68,28.62,88.86,5.0,110.08,banana,214.02
20.74,43.84,14.59,27.33,41.91,6.54,50.15,mothbeans,21.95
92.39,81.92,52.25,30.28,76.52,5.49,119.29,banana,202.61
17.85,68.95,23.09,19.7,21.88,6.31,95.59,kidneybeans,30.46
12.77,19.37,36.91,19.67,91.22,6.2,105.07,pomegranate,30.97
40.1,66.48,78.23,18.62,14.0,7.37,74.06,chickpea,30.75
21.45,16.42,26.53,26.71,88.9,5.9,191.71,coconut,80.99
18.16,17.06,7.38,20.79,93.55,7.12,122.72,orange,57.38
21.35,67.0,26.14,25.93,46.92,5.82,161.16,pigeonpeas,26.38
107.57,79.21,56.69,24.34,74.75,5.9,107.22,banana,210.42
94.42,62.55,48.42,27.2,78.71,5.97,91.51,banana,186.02
18.02,125.01,205.0,20.61,90.41,6.14,117.59,apple,64.86
19.93,69.78,20.59,21.13,27.25,5.34,110.44,kidneybeans,29.04
109.89,20.76,50.61,26.65,86.95,5.97,27.26,muskmelon,85.41
19.53,53.65,19.83,25.24,93.92,6.79,49.27,mungbean,24.29
21.9,49.25,22.1,30.05,56.4,6.66,62.11,mothbeans,23.8
15.49,14.06,28.69,22.33,96.56,6.02,168.37,coconut,84.27
79.17,45.49,24.72,23.93,73.2,5.83,88.39,maize,61.59
14.36,126.65,205.0,20.85,94.07,5.49,111.52,apple,65.67
14.41,11.98,36.34,28.25,94.34,6.01,152.73,coconut,81.46
20.23,61.93,16.47,21.26,18.88,5.37,108.81,kidneybeans,30.47
20.93,51.57,24.36,23.87,51.3,6.81,34.86,mothbeans,20.67
14.26,52.3,22.2,33.08,79.61,7.19,44.81,mungbean,26.58
14.45,67.46,15.19,24.69,65.76,6.94,44.11,lentil,28.06
101.55,51.34,46.64,23.89,87.03,6.22,50.37,watermelon,113.65
18.18,41.11,20.6,29.1,82.95,6.87,47.64,mungbean,23.98
23.55,61.09,17.98,29.44,49.17,5.23,134.09,pigeonpeas,25.18
17.41,77.83,19.09,31.25,43.4,5.74,153.53,pigeonpeas,29.84
21.66,63.36,24.16,24.87,48.58,5.77,146.06,pigeonpeas,25.49
22.49,73.22,13.38,20.05,17.67,5.25,86.43,kidneybeans,32.38
75.9,55.83,21.84,21.87,69.82,5.4,82.34,maize,65.58
82.12,49.38,39.58,24.08,72.46,6.84,198.95,jute,46.55
38.96,73.7,78.91,18.86,21.81,7.54,87.22,chickpea,31.75
22.54,138.02,205.0,18.38,93.81,6.24,131.69,apple,67.62
14.73,10.69,8.23,17.74,88.04,6.79,112.26,orange,68.72
106.68,48.61,14.99,26.33,89.71,6.52,87.71,cotton,42.62
76.69,48.39,43.67,25.21,84.87,6.34,258.53,rice,50.29
27.95,18.59,27.68,27.0,92.04,6.42,188.58,coconut,81.22
23.81,117.81,196.89,21.54,79.59,5.69,74.05,grapes,115.39
20.99,73.56,23.61,24.98,63.54,7.62,45.81,lentil,25.65
95.67,57.92,47.0,25.29,80.5,6.08,41.94,watermelon,138.28
18.53,122.54,205.0,24.29,78.67,6.02,73.46,grapes,91.41
20.41,128.3,205.0,24.38,74.18,5.97,63.67,grapes,107.8
38.05,67.54,17.3,31.74,65.9,7.73,62.0,blackgram,27.26
19.16,21.18,35.28,22.94,87.31,6.09,90.0,pomegranate,28.6
38.29,70.55,77.73,17.66,18.54,6.28,94.0,chickpea,27.53
24.37,16.12,24.05,27.97,98.15,5.6,144.51,coconut,71.8
77.16,56.99,20.24,21.96,69.6,5.33,109.74,maize,70.67
17.62,54.63,24.39,23.21,62.17,7.29,43.1,lentil,26.4
22.35,136.58,195.69,22.61,77.69,5.99,85.22,grapes,108.57
108.45,54.94,47.89,24.61,81.04,7.15,55.44,watermelon,129.16
77.22,51.77,29.87,21.16,89.61,6.32,195.88,jute,49.5
113.09,29.85,28.49,20.65,64.2,7.37,172.76,coffee,21.05
93.31,31.03,30.15,23.86,63.04,7.35,153.09,coffee,22.38
20.11,70.26,16.3,20.91,17.45,5.47,105.22,kidneybeans,32.09
76.69,44.65,28.73,25.93,83.58,6.16,155.37,jute,47.63
23.41,54.62,20.03,27.2,50.59,6.68,54.4,mothbeans,22.9
15.41,71.61,21.23,23.93,20.79,5.74,82.56,kidneybeans,32.05
98.38,78.22,51.06,27.17,76.82,5.77,124.4,banana,186.95
17.7,73.12,22.2,17.92,22.83,5.82,91.59,kidneybeans,30.83
18.58,17.66,33.41,27.74,98.67,6.14,188.33,coconut,83.45
56.22,68.5,56.4,31.67,95.25,7.12,128.52,papaya,141.08
56.68,59.47,53.37,30.98,89.25,7.53,126.46,papaya,124.24
18.41,41.66,19.93,27.58,77.21,5.82,63.15,mungbean,24.24
19.0,24.26,34.63,30.24,40.67,5.39,95.38,mango,66.46
16.07,15.27,43.15,23.7,90.03,6.74,102.26,pomegranate,30.9
110.18,51.36,51.87,25.09,85.38,6.49,49.6,watermelon,130.22
22.05,71.29,21.66,18.97,23.14,4.97,107.7,kidneybeans,30.97
80.95,46.9,19.22,23.1,59.48,6.02,66.69,maize,64.33
21.36,131.36,205.0,21.12,96.13,5.46,117.28,apple,65.64
36.2,60.84,11.79,27.0,72.74,7.49,69.13,blackgram,27.06
44.56,73.57,80.56,18.45,16.77,7.52,74.99,chickpea,30.88
26.91,130.99,205.0,24.3,82.91,6.1,64.64,grapes,102.38
23.56,100.62,200.59,21.17,79.24,6.61,65.33,grapes,96.68
97.69,75.78,51.15,25.22,80.09,6.76,124.77,banana,200.47
119.86,44.04,24.51,19.49,79.13,7.33,102.0,cotton,40.23
81.06,49.09,47.06,21.92,80.46,6.55,231.38,rice,51.84
18.47,8.87,46.66,16.52,87.07,6.38,100.34,pomegranate,28.59
22.61,51.39,16.29,28.87,94.04,6.48,43.51,mungbean,27.14
94.35,91.99,48.0,27.63,88.84,6.37,102.35,banana,193.91
81.95,38.46,34.9,24.8,84.3,7.22,179.29,jute,46.47
21.76,53.14,22.19,28.79,79.72,6.8,49.86,mungbean,27.19
75.41,53.37,21.57,24.21,59.06,6.03,91.46,maize,73.86
36.39,59.48,71.59,16.75,14.0,7.23,84.94,chickpea,29.31
33.75,66.4,79.88,22.46,14.0,7.23,79.05,chickpea,32.88
36.61,65.25,80.4,18.99,14.0,7.31,80.91,chickpea,29.64
18.99,133.31,205.0,22.17,93.27,5.76,109.11,apple,65.48
73.96,54.46,45.07,22.97,81.68,6.2,236.28,rice,55.26
16.12,65.91,17.46,20.09,26.91,5.96,97.96,kidneybeans,31.23
52.05,62.03,55.69,34.14,89.12,6.78,150.89,papaya,130.18
114.87,32.99,28.24,23.58,48.96,6.26,158.31,coffee,22.77
45.02,66.47,16.79,27.41,63.45,7.27,57.6,blackgram,25.67
22.23,67.43,17.31,18.39,22.94,5.46,101.01,kidneybeans,32.19
20.24,25.48,27.8,32.46,51.35,5.4,99.61,mango,76.86
22.94,26.7,29.58,30.57,45.78,5.3,78.09,mango,63.18
20.67,14.02,30.47,26.71,88.61,6.27,164.74,coconut,68.85
49.35,55.89,59.72,31.28,90.43,6.38,136.78,papaya,136.04
15.89,134.85,205.0,20.01,94.62,5.9,129.14,apple,66.04
44.12,65.48,80.72,17.79,18.02,7.54,81.93,chickpea,29.39
14.84,19.39,31.02,16.69,89.14,6.92,99.89,pomegranate,26.73
42.06,72.38,82.37,17.67,14.0,7.04,79.5,chickpea,30.28
100.04,18.88,54.15,23.97,95.28,7.09,30.14,muskmelon,106.52
25.2,126.71,205.0,21.98,92.69,5.45,119.56,apple,72.81
97.94,17.76,41.63,26.1,94.96,5.74,23.93,muskmelon,94.91
85.83,14.5,56.31,28.03,90.49,6.93,23.06,muskmelon,107.04
19.1,30.99,34.47,28.7,55.17,5.93,88.91,mango,57.76
21.7,28.88,26.8,28.95,47.69,5.64,96.45,mango,65.52
131.68,43.29,23.6,23.57,83.5,7.07,72.26,cotton,43.52
24.77,16.98,36.13,28.09,93.91,5.79,167.72,coconut,85.38
14.64,20.12,42.16,19.42,93.38,5.93,120.99,pomegranate,30.23
70.13,48.04,35.2,22.29,78.09,5.41,231.09,rice,52.92
99.03,10.47,44.6,30.52,92.3,7.02,22.78,muskmelon,97.27
116.16,29.45,31.89,23.29,59.52,6.59,146.83,coffee,24.47
49.28,51.56,41.32,32.55,91.37,6.53,141.72,papaya,128.21
18.89,47.36,18.43,26.91,59.42,6.78,37.95,mothbeans,21.38
83.33,46.76,22.18,20.8,64.97,7.01,78.23,maize,68.34
17.74,23.37,26.61,31.46,58.39,5.99,99.99,mango,71.37
97.17,15.56,47.28,28.55,96.53,6.36,28.84,muskmelon,110.49
22.32,75.14,16.58,27.63,43.43,5.73,161.42,pigeonpeas,28.72
16.85,46.43,20.04,28.2,89.79,6.0,34.81,mungbean,24.23
91.57,32.37,32.2,24.49,61.28,7.06,123.43,coffee,21.78
22.95,119.48,202.56,21.04,84.08,5.99,63.13,grapes,115.83
21.74,16.74,31.88,27.86,94.8,5.98,175.78,coconut,78.92
116.39,43.76,22.05,24.64,73.88,6.36,80.42,cotton,39.7
25.73,69.87,19.71,24.52,52.72,5.86,127.66,pigeonpeas,27.82
75.13,43.99,40.52,21.84,80.27,6.26,257.83,rice,58.76
19.83,122.85,205.0,20.28,95.17,6.55,94.07,apple,60.88
14.83,18.94,37.49,19.35,93.61,6.52,112.7,pomegranate,28.15
105.72,32.82,31.58,25.57,65.43,7.25,139.42,coffee,23.04
41.94,65.88,83.25,15.54,19.23,7.48,66.15,chickpea,28.91
119.27,47.57,18.05,22.91,75.15,6.72,71.36,cotton,36.15
80.92,43.07,35.01,24.04,81.26,7.38,171.6,jute,48.45
16.33,26.85,26.54,29.93,51.99,6.29,114.09,mango,74.11
85.5,84.51,52.72,30.62,77.61,5.7,101.6,banana,201.87
45.84,61.81,55.77,29.0,90.97,6.76,166.07,papaya,137.01
22.37,137.27,202.46,20.34,92.88,6.47,83.47,apple,64.67
35.73,75.55,77.75,18.2,14.0,6.71,79.86,chickpea,28.39
77.59,42.43,42.52,24.86,77.85,6.55,232.3,rice,53.76
18.75,71.57,21.4,29.99,51.98,6.14,145.96,pigeonpeas,28.57
17.94,51.96,20.7,28.81,59.34,6.87,56.63,mothbeans,22.6
19.83,42.93,18.64,29.0,82.45,6.57,45.82,mungbean,25.75
73.16,48.53,36.87,24.71,81.55,6.92,171.75,jute,47.3
15.85,19.14,28.9,22.99,91.78,6.56,90.92,pomegranate,32.41
25.68,132.19,195.41,25.09,81.26,5.26,73.3,grapes,102.32
20.76,54.52,20.14,27.18,54.0,6.83,51.45,mothbeans,22.92
75.14,45.45,46.61,24.2,71.2,6.73,177.88,jute,44.98
75.77,53.98,25.18,25.27,64.07,6.03,72.46,maize,67.12
18.71,20.03,27.78,27.72,97.3,5.24,171.14,coconut,79.66
87.23,42.21,21.29,23.88,58.34,6.15,96.19,maize,71.61
37.29,63.02,88.59,16.24,14.0,7.31,87.02,chickpea,27.99
101.2,87.27,58.59,27.51,71.35,6.18,88.21,banana,179.35
87.14,48.65,35.01,22.4,81.34,6.24,238.13,rice,51.66
21.41,17.51,35.49,28.75,89.53,5.84,187.31,coconut,76.48
87.09,57.11,36.69,23.8,80.32,7.19,167.5,jute,48.07
21.41,29.0,31.37,32.88,45.33,6.24,101.44,mango,73.63
99.63,15.35,52.86,28.25,88.77,6.7,22.19,muskmelon,123.27
25.01,131.18,205.0,19.16,89.44,5.64,116.71,apple,65.44
87.58,76.55,54.57,25.06,80.63,6.16,120.3,banana,199.79
17.46,66.99,20.76,26.6,44.83,6.0,131.36,pigeonpeas,27.8
38.49,68.49,17.92,23.2,57.07,6.76,69.29,blackgram,25.39
16.01,19.9,10.9,20.96,93.64,7.18,108.31,orange,57.11
44.59,64.82,73.08,17.06,14.0,7.22,70.53,chickpea,27.82
108.85,51.56,45.84,22.51,81.6,5.56,58.11,watermelon,94.57
100.48,76.32,60.93,26.51,76.38,5.98,116.53,banana,210.95
23.25,143.42,205.0,16.26,93.65,6.11,131.11,apple,60.17
43.53,56.14,88.67,19.28,14.0,7.32,81.82,chickpea,30.37
95.67,28.93,29.87,29.39,58.12,6.18,154.31,coffee,23.42
16.79,74.95,21.57,26.79,47.82,4.99,164.54,pigeonpeas,27.53
25.27,11.42,13.16,22.5,92.29,7.19,112.69,orange,65.28
19.02,132.8,186.9,23.59,91.4,5.6,108.6,apple,60.74
18.29,16.46,36.7,28.98,97.48,5.01,177.42,coconut,81.82
51.21,60.41,51.15,35.64,94.22,6.81,133.44,papaya,149.64
100.11,57.37,44.07,27.54,85.18,6.72,57.04,watermelon,128.42
20.22,55.19,21.26,29.8,48.78,7.21,45.14,mothbeans,22.63
46.25,60.05,49.59,30.19,90.8,7.15,134.82,papaya,136.43
38.83,72.54,76.1,21.47,14.0,7.08,60.5,chickpea,29.77
22.31,19.41,39.62,19.53,86.65,6.83,140.89,pomegranate,30.1
40.72,67.11,77.23,16.51,19.27,7.5,57.97,chickpea,29.35
49.11,47.11,49.85,39.57,91.06,6.25,161.81,papaya,130.32
16.6,63.99,20.32,27.57,62.82,6.47,48.26,lentil,28.65
20.85,135.36,205.0,21.3,91.86,5.32,120.4,apple,63.43
18.84,21.06,38.5,21.41,86.41,7.13,112.14,pomegranate,29.61
40.45,69.57,78.21,14.04,16.24,8.27,69.42,chickpea,28.21
17.19,26.54,26.53,32.24,42.17,5.71,89.81,mango,76.91
41.69,61.66,79.65,18.94,14.0,7.92,63.46,chickpea,29.14
21.23,17.05,44.92,18.92,88.0,6.54,121.05,pomegranate,30.2
107.7,58.61,48.7,24.84,81.62,6.43,50.66,watermelon,131.12
17.5,57.6,24.56,23.15,24.33,6.01,96.49,kidneybeans,31.2
18.59,47.01,26.56,28.96,78.01,6.49,48.54,mungbean,24.2
94.68,14.83,46.81,29.18,88.68,5.74,22.44,muskmelon,87.57
104.19,47.76,53.9,27.47,90.19,6.65,45.42,watermelon,134.33
23.51,81.93,22.37,18.99,24.38,6.0,99.44,kidneybeans,31.19
95.57,20.99,52.94,28.34,89.35,6.43,27.11,muskmelon,105.06
23.17,25.83,32.77,28.8,57.48,5.2,99.95,mango,68.74
67.52,56.85,42.61,24.22,85.83,6.04,213.49,rice,54.64
40.88,56.57,19.41,28.22,69.19,7.53,83.82,blackgram,26.5
36.0,65.4,77.45,17.95,18.68,7.47,77.18,chickpea,28.1
93.64,77.3,48.06,22.12,77.62,6.39,119.32,banana,205.49
37.44,70.49,20.08,30.37,65.92,6.95,67.08,blackgram,27.49
17.38,61.02,19.76,29.62,53.36,5.6,151.37,pigeonpeas,26.03
58.0,63.53,49.51,34.19,87.53,6.57,126.25,papaya,131.52
20.55,69.51,16.14,26.9,48.38,5.65,134.48,pigeonpeas,26.53
19.45,48.22,17.79,27.13,85.07,6.22,39.48,mungbean,23.87
27.01,20.0,36.73,31.61,95.36,5.79,152.53,coconut,81.64
120.31,51.76,19.66,21.48,79.99,6.34,80.61,cotton,39.05
22.11,142.16,195.45,24.31,83.02,5.56,60.06,grapes,117.49
21.59,133.36,198.27,22.65,87.38,5.69,112.66,apple,63.93
16.01,74.44,21.11,22.74,58.39,7.23,31.43,lentil,26.33
107.63,88.51,46.47,23.02,80.75,5.92,108.03,banana,227.15
75.18,40.58,34.17,25.4,72.38,6.23,187.39,jute,47.53
19.98,136.09,205.0,23.67,88.73,5.57,108.76,apple,71.08
12.25,15.3,44.95,22.48,86.01,6.79,99.19,pomegranate,31.21
22.36,140.11,199.94,21.88,89.84,5.95,133.03,apple,68.35
29.23,53.11,16.46,28.62,91.45,6.2,61.12,mungbean,25.87
109.9,21.15,54.81,30.9,92.62,6.52,20.0,muskmelon,100.26
96.17,27.38,26.57,23.5,59.02,6.6,170.96,coffee,22.28
98.89,30.48,32.14,28.31,54.19,6.93,205.57,coffee,23.4
17.68,69.66,22.05,27.65,45.1,5.59,149.52,pigeonpeas,28.78
72.11,40.21,36.29,24.14,87.38,7.21,180.01,jute,45.73
21.65,67.43,17.8,21.25,22.93,5.63,86.77,kidneybeans,31.54
104.56,70.11,47.77,28.6,70.54,5.78,118.65,banana,207.32
76.45,48.23,21.18,19.92,65.2,5.55,75.92,maize,65.14
73.31,42.57,38.99,26.02,88.05,6.26,194.0,jute,46.5
85.05,42.87,18.28,24.37,66.55,6.26,97.87,maize,71.16
23.75,64.05,24.15,31.14,52.82,6.23,156.31,pigeonpeas,28.6
18.89,31.11,34.82,30.22,50.53,5.37,89.78,mango,64.15
19.86,65.99,15.39,17.41,26.55,5.74,119.63,kidneybeans,32.87
15.07,16.96,40.01,20.8,89.36,6.32,94.85,pomegranate,30.93
93.65,49.95,51.17,27.2,87.77,6.91,37.62,watermelon,121.93
35.97,69.29,21.02,32.98,71.11,6.41,77.2,blackgram,25.74
70.57,49.4,20.59,22.73,71.24,5.34,96.13,maize,66.87
79.52,47.05,40.8,24.31,83.73,6.49,213.79,rice,51.53
17.55,52.28,18.17,29.51,54.13,7.1,54.09,mothbeans,21.97
25.98,66.73,19.01,17.59,18.57,5.99,81.4,kidneybeans,29.17
19.61,25.16,35.98,31.78,51.96,6.5,109.34,mango,73.61
117.83,46.86,22.25,23.66,74.55,6.58,74.72,cotton,40.83
45.56,61.2,54.8,30.66,91.19,6.77,130.05,papaya,147.15
20.69,45.94,21.48,26.12,55.4,7.06,38.07,mothbeans,21.35
124.51,40.38,19.59,20.27,81.14,6.64,75.17,cotton,38.62
19.63,49.27,25.11,26.82,80.41,6.76,65.66,mungbean,25.76
20.92,12.16,12.06,22.49,90.71,7.33,136.32,orange,64.65
71.79,52.02,44.16,20.01,90.5,6.67,168.2,jute,47.26
43.81,65.85,19.1,29.33,57.47,7.7,71.94,blackgram,26.24
17.72,51.92,17.94,29.46,91.01,6.38,58.47,mungbean,25.25
89.88,37.94,33.08,20.68,57.64,6.75,159.3,coffee,22.59
106.77,79.54,61.05,26.77,76.12,5.25,107.42,banana,191.55
15.03,66.73,22.52,25.41,44.07,7.1,143.26,pigeonpeas,23.86
56.05,55.82,51.51,32.37,90.32,6.06,150.06,papaya,138.31
21.83,132.88,205.0,22.36,94.58,5.9,116.5,apple,62.85
20.1,16.65,32.88,23.12,93.78,6.65,126.12,pomegranate,31.04
77.92,40.08,24.5,20.02,65.96,5.7,74.35,maize,63.93
13.96,24.7,26.53,30.31,41.48,6.17,116.67,mango,75.09
18.97,17.62,23.6,23.96,95.54,5.31,161.55,coconut,83.53
